title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
2336,เมื่อสามีจอมบงการของฉันเปลี่ยนไป,ROMANTIC_FANTASY,"ลันเทเชียส,ชังบี,เมาท์เท่น",WEDNESDAY,72,280895,9.6,11804328,427207,ONGOING,False,"นึกว่าในชีวิตนี้จะไม่มีอะไรให้นึกเสียดายแล้วซะอีก เพราะที่ผ่านมายังไม่เคยมีอะไรเป็นไปตามที่เราต้องการเลยแม้แต่อย่างเดียว ตลอดช่วงเวลาหลายปีที่เคยโดนกดขี่ข่มเหงเพียงเพราะว่ามีสาวใช้ซึ่งเป็นสายเลือดอันต่ำต้อยเป็นผู้ให้กำเนิด...จึงทำให้ไม่เคยได้รับแม้แต่ความรักจากครอบครัวหรือชีวิตอันสุขสบายในวงศ์ตระกูลเลยแม้แต่ครั้งเดียว
แต่ฉันยังไม่อยากตาย ฉันอยากจะมีชีวิตอย่างที่ใจต้องการบ้างแม้จะแค่ชั่วพริบตาเดียว..."
2335,รักใสๆ ของยอนอู,ROMANCE,ลีซล,TUESDAY,63,114621,9.82,5242135,274191,ONGOING,False,"""ตอนนี้ผมกำลังแอบรักเธอข้างเดียว"""
2333,Build Up,DRAMA,911,FRIDAY,73,122281,9.76,10512610,246121,ONGOING,False,"""อยากเล่นฟุตบอลจัง อยากเล่นฟุตบอลให้เก่งขึ้นกว่านี้ ไม่สิ เราอยากที่จะเล่นฟุตบอลให้เก่งที่สุด เท่านั้นเอง"""
2332,หนีรักจักรพรรดิบ้าเลือด,ROMANTIC_FANTASY,"รยูรัน,SF_JD",MONDAY,53,278061,9.7,15041100,527026,ONGOING,False,อาณาจักรได้จัดงานเทศกาลครั้งใหญ่ขึ้นปีละครั้ง  ในวันนี้ทุกๆ คนจะออกมาสนุกสนานกันตามท้องถนนในยามค่ำคืน และฉันเองก็เป็นหนึ่งในนั้นจนถึง...
2330,ราวลมพัดกิ่งไม้แห้ง,ROMANTIC_FANTASY,"ดัลแซอุล,ฮวาอึม",THURSDAY,73,194121,9.82,11364431,544411,ONGOING,False,ลีเอตต้า ทริสตี้ เป็นหญิงหม้ายที่เสียสามี ถูกแย่งลูก และใกล้จะถูกฝังทั้งเป็นพร้อมกับศพของเอิร์ลคาซาเรียส แต่ในงานศพของคาซาเรียสแขกที่ไม่ได้เชิญอย่างแกรนด์ดยุกแอกเซียสผู้มีฉายาว่าเจ้าชายเสียสติปรากฏตัวมาช่วยชีวิตลีเอตต้า “ว่าไง นางยั่วสวาท”
2329,สายใยรักอุดมคติ,ROMANCE,ยัดกง,MONDAY,5,41291,9.48,1614545,85202,COMPLETED,True,ซาฮีแอบเห็นฉากจูบระหว่างเพื่อนผู้ชายสองคนเข้าโดยบังเอิญ แล้วหนึ่งในนั้นยังเป็นคนที่เธอเคยชอบอีกต่างหาก! เมื่อซาฮีต้องมาใช้ชีวิตอยู่ในบ้านหลังเดียวกับพวกเขา ความสัมพันธ์อันแปลกประหลาดก็เริ่มต้นขึ้น...
2318,7 จอมมาร,ROMANTIC_FANTASY,doublebee,THURSDAY,73,101561,9.79,4527375,226562,ONGOING,False,"เมื่อปีศาจตนหนึ่งคิดครองโลก 
6 พี่น้องที่เหลือจึงต้องออกตามหา
แต่โลกมนุษย์มีแต่เรื่องสนุก
งั้นไม่ต้องคงต้องครองโลกกันแล้วโว้ย !!"
2317,ขอโทษครับ ผมไม่ใช่คนแถวนี้,COMEDY,"Moname,เด็กชายตาขีด",THURSDAY,68,96393,9.72,3902189,198637,ONGOING,False,ผมเป็นนักเรียนม.ปลายธรรมดาๆ มาตลอดจนกระทั่งวันนี้...ที่ผมได้รู้ความจริงบางอย่างที่พ่อแม่ปิดบังผมมาตลอด 16 ปี ความจริงสุดช็อกนั้นก็คือ...?!!
2293,ผมถูกรักแรกไล่ฆ่า,ACTION,Nicname,SUNDAY,3,63978,9.41,2598534,93768,COMPLETED,True,"""เทน"" เด็กหนุ่มผู้ได้พบกับ ""มายด์"" รักแรกที่กวดวิชาพิเศษ วันที่เขาตัดสินใจสารภาพรักกับเธอ กลับเป็นวันที่ชีวิตของเขาเปลี่ยนไปเมื่อมายด์ได้ออกตามล่าเทนอย่างไม่หยุดยั้ง แล้วเทนจะทำอย่างไร"
2292,อย่ามาหลอกซะให้ยาก,ROMANCE,"aurum;),yoyongSAN",WEDNESDAY,4,186828,9.72,8478653,384199,COMPLETED,True,"""วารี"" สาวมหาวิทยาลัยหน้าตาระดับตัวประกอบ C ดันมีผู้ชายหน้าตาดี ""ชาฮุน"" มาสารภาพรัก วารีได้แต่หวนคิดว่าความรักครั้งนี้คืออะไร มีจุดประสงค์ไม่ดีหรือเปล่า อย่ามาหลอกกันนะ!!"
2288,คู่รักหวานซ่อนเปรี้ยว,ROMANCE,"จังกรีน,โฟลว์บี",SATURDAY,72,149707,9.86,9887813,495272,COMPLETED,False,"""เราแค่อยู่ด้วยกันเพื่อรอวันหย่า""
ชายหญิงที่เคยเป็นคู่ปรับกันสมัยเรียนมัธยมมาเจอกันอีกครั้งในรอบ 10 ปี แต่ครั้งนี้เขาและเธอเจอกันในฐานะคู่แต่งงานปลอมเพื่อบรรลุเป้าหมายของตัวเอง ชายหญิงคู่นี้จะได้ใช้ชีวิตแต่งงานอย่างสำเร็จลุล่วงไปได้ด้วยดีหรือไม่?"
2287,ชีวิตเวรเอ๊ย,ACTION,"ปาร์คแทจุน,จอนซอนอุก",TUESDAY,7,164032,9.9,10951259,369139,COMPLETED,True,"""คิมจินอู"" ชายผู้ที่อดทนกับการถูก ""จางอันชอล"" และกลุ่มนักเลงกลั่นแกล้งมาตลอดกลับพบว่าจางอันชอลและเพื่อนๆ ต่างประสบความสำเร็จในชีวิต ด้วยความไม่พอใจทำให้เขาสาปแช่งจางอันชอลก่อนประสบอุบัติเหตุตาย ทำให้จางอันชอลต้องใช้ชีวิตในฐานะคิมจินอูและต้องใช้ชีวิตที่เขาเคยผ่านพบมา"
